id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20190001,1,PEREZ,SALAZAR,IVAN MAURICIO,22350,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,18490002,2,RESTREPO,GOMEZ,JUAN CAMILO,28113,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20190002,3,TOBON,,MAURICIO,91490,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20170001,4,MEJIA,ARBOLEDA,JUAN ESTEBAN,10012,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20190003,5,PALAU,ANGEL,JUAN FELIPE,24305,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20190004,6,GAVIRIA,CORREA,ANIBAL,200371,1
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,20130001,7,GUERRA,,ANDRES,233137,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,19910006,8,CORREA,VARGAS,RODOLFO ANDRES,30527,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,997,VOTOS NULOS,,,31110,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,998,TARJETAS NO MARCADAS,,,23252,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Departamental,,999,VOTOS EN BLANCO,,,132553,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20190001,1,PEREZ,SALAZAR,IVAN MAURICIO,65,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,18490002,2,RESTREPO,GOMEZ,JUAN CAMILO,324,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20190002,3,TOBON,,MAURICIO,178,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20170001,4,MEJIA,ARBOLEDA,JUAN ESTEBAN,66,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20190003,5,PALAU,ANGEL,JUAN FELIPE,52,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20190004,6,GAVIRIA,CORREA,ANIBAL,3523,1
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,20130001,7,GUERRA,,ANDRES,2521,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,19910006,8,CORREA,VARGAS,RODOLFO ANDRES,65,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,,997,VOTOS NULOS,,,1420,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,,998,TARJETAS NO MARCADAS,,,140,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Departamental,,999,VOTOS EN BLANCO,,,327,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,20190001,1,PEREZ,SALAZAR,IVAN MAURICIO,4,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,18490002,2,RESTREPO,GOMEZ,JUAN CAMILO,71,0
420190001,2019,Gobernación,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Departamental,20190002,3,TOBON,,MAURICIO,24,0
