id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19980010,1,VELEZ,,JORGE,25671,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19980014,2,BETANCUR,AGUILAR,JORGE HERNAM,1021,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19910002,3,FAJARDO,VALDERRAMA,SERGIO,208541,1
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19970002,4,PARDO,CARDONA,LUIS GUILLERMO,2387,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18480001,5,MEJIA,MARTINEZ,JORGE IVAN,67369,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18490002,6,NARANJO,PEREZ,SERGIO,100931,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19780001,7,MONTOYA,ALVAREZ,MARIA TERESA,2756,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20000203,8,CORTES,SANCHEZ,WILSON DE JESUS,612,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20020003,9,VILLA,MORENO,RAFAEL MARIO,3183,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20060002,10,GOMEZ,GIRALDO,JOSE HERNAN,1181,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,997,TARJETAS NO MARCADAS,,,20183,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,998,VOTOS NULOS,,,8455,0
620030001,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,999,VOTOS EN BLANCO,,,14094,0
620030002,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,19980010,1,ECHEVERRI,JARAMILLO,JORGE ELIECER,3299,0
620030002,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,20020003,2,MARIN,ZULUAGA,RUBEN DARIO,3897,1
620030002,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,997,TARJETAS NO MARCADAS,,,415,0
620030002,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,998,VOTOS NULOS,,,158,0
620030002,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,999,VOTOS EN BLANCO,,,54,0
620030003,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,19980010,1,SALAS,CARDONA,LUIS ALFONSO,349,0
620030003,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,18490002,2,LOPEZ,SEPULVEDA,JHON FREDY,736,1
620030003,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,997,TARJETAS NO MARCADAS,,,30,0
620030003,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,998,VOTOS NULOS,,,5,0
620030003,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,999,VOTOS EN BLANCO,,,7,0
620030004,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,19980010,1,VALENCIA,VARGAS,OSCAR IGNACIO,858,0
620030004,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,18490002,2,HENAO,GIRALDO,ORFA NELLY,992,1
620030004,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,997,TARJETAS NO MARCADAS,,,35,0
620030004,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,998,VOTOS NULOS,,,19,0
620030004,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,999,VOTOS EN BLANCO,,,16,0
620030005,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Municipal,19930002,1,TORRES,DE ACEVEDO,ELVIA AMPARO,671,0
620030005,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Municipal,20030254,2,ALVAREZ,CARDONA,ANGEL CUSTODIO,952,0
620030005,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Municipal,18480001,3,PARRA,TRUJILLO,BERNANDO ARTURO,1704,0
620030005,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Municipal,19910002,4,HERNANDEZ,PIEDRAHITA,ARMANDO DE JESUS,2426,0
620030005,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Municipal,19980010,5,TABORDA,TRUJILLO,CARLOS ADOLFO,2499,1
620030005,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Municipal,,997,TARJETAS NO MARCADAS,,,405,0
620030005,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Municipal,,998,VOTOS NULOS,,,212,0
620030005,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Municipal,,999,VOTOS EN BLANCO,,,336,0
620030006,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Municipal,18480001,1,GIRALDO,ESTRADA,TULIO MARIO,1393,0
620030006,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Municipal,20060002,2,RIOS,ORTEGA,WILMAR ALFREDO,2235,1
620030006,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Municipal,20020002,3,SANCHEZ,OSPINA,JORGE ORLANDO,3,0
620030006,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Municipal,19880001,4,ARIZA,RODRIGUEZ,ARMANDO JOSE,553,0
620030006,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Municipal,,997,TARJETAS NO MARCADAS,,,248,0
620030006,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Municipal,,998,VOTOS NULOS,,,80,0
620030006,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Municipal,,999,VOTOS EN BLANCO,,,43,0
620030007,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5034,ANDES,Municipal,20060002,1,ARBOLEDA,MEJIA,JULIO HUMBERTO,6723,1
620030007,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5034,ANDES,Municipal,19980010,2,GALLON,ARANGO,LUIS HORACIO,6051,0
620030007,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5034,ANDES,Municipal,,997,TARJETAS NO MARCADAS,,,818,0
620030007,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5034,ANDES,Municipal,,998,VOTOS NULOS,,,258,0
620030007,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5034,ANDES,Municipal,,999,VOTOS EN BLANCO,,,168,0
620030008,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Municipal,18480001,1,ARBOLEDA,BOLIVAR,HECTOR JAIME,1056,0
620030008,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Municipal,20060002,2,GOMEZ,GOMEZ,JAIME ALBERTO,1294,1
620030008,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Municipal,,997,TARJETAS NO MARCADAS,,,70,0
620030008,2003,Alcaldía Municipal,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Municipal,,998,VOTOS NULOS,,,45,0
