id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,censoe_mujeres,censoe_hombres,censoe_total
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20190033,1,VARGAS,,JAIRO HERRAN,2829,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20130001,2,RAMOS,,ALFREDO,235319,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20190086,3,VELEZ,,JUAN CARLOS,6709,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20180004,4,HOYOS,MENESES,LUIS GUILLERMO,1428,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20190087,5,QUINTERO,CALLE,DANIEL,304034,1,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20190088,6,GOMEZ,,SANTIAGO,95138,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20170001,7,MEJIA,IZQUIERDO,GEMMA MARIA,9039,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20180047,8,MUNOZ,RAMIREZ,LUIS FERNANDO,1116,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20180046,9,GUTIERREZ,SERNA,JORGE ORLANDO,1261,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20090002,10,RAVE,,BEATRIZ,13753,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20050001,11,CORREA,VELEZ,VICTOR JAVIER,9670,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20190089,12,VALDERRAMA,LOPEZ,JUAN DAVID,22195,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,997,TARJETAS NO MARCADAS,,,20410,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,998,VOTOS NULOS,,,25423,0,908723,754131,1662854
620190001,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,999,VOTOS EN BLANCO,,,81329,0,908723,754131,1662854
620190002,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,19910001,1,GARCIA,RINCON,IVAN DE JESUS,1271,0,7270,7954,15224
620190002,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,20190090,2,CARDONA,AGUIRRE,HENRY,1805,0,7270,7954,15224
620190002,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,18490002,3,GUZMAN,MARIN,MANUEL ALBERTO,1543,0,7270,7954,15224
620190002,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,20090002,4,MARIN,CORREA,GUSTAVO ANDRES,497,0,7270,7954,15224
620190002,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,20130001,5,MUNOZ,LOPEZ,JULIAN ANDRES,2908,1,7270,7954,15224
620190002,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,997,TARJETAS NO MARCADAS,,,221,0,7270,7954,15224
620190002,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,998,VOTOS NULOS,,,325,0,7270,7954,15224
620190002,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,999,VOTOS EN BLANCO,,,149,0,7270,7954,15224
620190003,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,20030001,1,HOYOS,MORENO,RAMON EMIRO,326,0,885,1063,1948
620190003,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,18490002,2,URREGO,QUIROS,HECTOR WILLIAM,772,1,885,1063,1948
620190003,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,20130001,3,DUQUE,CORREA,CARLOS ANDRES,348,0,885,1063,1948
620190003,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,997,TARJETAS NO MARCADAS,,,8,0,885,1063,1948
620190003,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,998,VOTOS NULOS,,,8,0,885,1063,1948
620190003,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,999,VOTOS EN BLANCO,,,6,0,885,1063,1948
620190004,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,20190091,1,OCAMPO,GIRALDO,SOR MARIA,1344,1,2207,2303,4510
620190004,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,18490002,2,NARANJO,OSORIO,GLORIA CECILIA,909,0,2207,2303,4510
620190004,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,20130001,3,VALENCIA,VARGAS,OSCAR IGNACIO,842,0,2207,2303,4510
620190004,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,997,TARJETAS NO MARCADAS,,,16,0,2207,2303,4510
620190004,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,998,VOTOS NULOS,,,35,0,2207,2303,4510
620190004,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,999,VOTOS EN BLANCO,,,24,0,2207,2303,4510
620190005,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5030,AMAGA,Municipal,18480001,1,MOLINA,RODAS,LEONARDO DE JESUS,5973,1,11668,11238,22906
620190005,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5030,AMAGA,Municipal,20190440,2,ACEVEDO,VASQUEZ,EDUARDO ANTONIO,3480,0,11668,11238,22906
620190005,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5030,AMAGA,Municipal,20190092,3,AMAYA,CANO,JUAN CARLOS,2546,0,11668,11238,22906
620190005,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5030,AMAGA,Municipal,20090002,4,GRANADOS,HURTADO,JOHN FREDY,276,0,11668,11238,22906
620190005,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5030,AMAGA,Municipal,,997,TARJETAS NO MARCADAS,,,243,0,11668,11238,22906
620190005,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5030,AMAGA,Municipal,,998,VOTOS NULOS,,,234,0,11668,11238,22906
620190005,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5030,AMAGA,Municipal,,999,VOTOS EN BLANCO,,,360,0,11668,11238,22906
620190006,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5031,AMALFI,Municipal,20190441,1,RIOS,ORTEGA,WILMAR ALFREDO,2067,0,8617,9256,17873
620190006,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5031,AMALFI,Municipal,18480001,2,GARCIA,RENDON,OSCAR MARIO,848,0,8617,9256,17873
620190006,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5031,AMALFI,Municipal,20190442,3,GIL,JARAMILLO,FEDERICO,6003,1,8617,9256,17873
620190006,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5031,AMALFI,Municipal,,997,TARJETAS NO MARCADAS,,,124,0,8617,9256,17873
620190006,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5031,AMALFI,Municipal,,998,VOTOS NULOS,,,201,0,8617,9256,17873
620190006,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5031,AMALFI,Municipal,,999,VOTOS EN BLANCO,,,184,0,8617,9256,17873
620190007,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5034,ANDES,Municipal,20130002,1,BERRIO,ECHAVARRIA,JUAN GONZALO,1797,0,16777,18390,35167
620190007,2019,Alcaldía Municipal,Octubre 27,5,ANTIOQUIA,5034,ANDES,Municipal,20190093,2,VELEZ,OROZCO,GERMAN ALEXANDER,5306,0,16777,18390,35167
