id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,censoe_mujeres,censoe_hombres,censoe_total
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20070324,1,BAZURTO,GIL,JOHN,2683,0,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19910002,2,SALAZAR,JARAMILLO,ALONSO,275734,1,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19910001,3,CUERVO,VALENCIA,CARLOS IGNACIO,5261,0,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18490002,4,RICO,BETANCUR,GABRIEL JAIME,15580,0,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20070001,5,NARANJO,PEREZ,SERGIO GABRIEL,7780,0,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20050001,6,PARDO,CARDONA,LUIS GUILLERMO,14342,0,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,20070265,7,PEREZ,GUTIERREZ,LUIS EMILIO,241993,0,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,997,TARJETAS NO MARCADAS,,,20009,0,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,998,VOTOS NULOS,,,10372,0,648290,525179,1173469
620070001,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,999,VOTOS EN BLANCO,,,26302,0,648290,525179,1173469
620070002,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,20070323,1,GARCIA,RINCON,IVAN DE JESUS,2920,1,7020,7333,14353
620070002,2007,Alcaldía Municipal,Octubre 28,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,20050004,2,MORALES,CORTES,HERNANDO DE JESUS,1962,0,7020,7333,14353
